model,release,hashRate (Th/s),power (W),algo,profitability ($/day),efficiency (j/Gh)
Ebang Ebit E11++,Oct 2018,44,1980,SHA-256,12.04,0.045
Ebang Ebit E11+,Oct 2018,37,2035,SHA-256,9.06,0.055
Ebang Ebit E11,Oct 2018,30,1950,SHA-256,6.48,0.065
ASICminer 8 Nano 44Th,Oct 2018,44,2100,SHA-256,11.69,0.048
GMO miner B2,Oct 2018,24,1950,SHA-256,4.06,0.081
Canaan AvalonMiner 921,Sep 2018,20,1700,SHA-256,3.17,0.085
MicroBT Whatsminer M10,Sep 2018,33,2145,SHA-256,7.13,0.065
MicroBT Whatsminer M10S,Sep 2018,55,3500,SHA-256,12.10,0.064
Innosilicon T2 Turbo+ 32T,Sep 2018,32,2200,SHA-256,6.57,0.069
Bitmain Antminer S9 Hydro,Aug 2018,18,1728,SHA-256,2.28,0.096
Bitfily Snow Panther B1+,Aug 2018,24.5,2100,SHA-256,3.83,0.086
Bitmain Antminer S9j,Aug 2018,14.5,1350,SHA-256,1.96,0.093
Innosilicon T2 Turbo,Aug 2018,24,1980,SHA-256,3.97,0.083
Ebang Ebit E9i,Jul 2018,13.5,1420,SHA-256,1.35,0.105
Bitfily Snow Panther B1,Jul 2018,16,1380,SHA-256,2.48,0.086
Aladdin Miner 16Th/s Bitcoin,Jul 2018,16,1400,SHA-256,2.42,0.088
Innosilicon T2 Terminator,May 2018,17.2,1570,SHA-256,2.41,0.091
Ebang Ebit E9.3,May 2018,16,1760,SHA-256,1.38,0.11
Bitmain Antminer S9i,May 2018,13,1280,SHA-256,1.53,0.099
ASICminer 8 Nano Pro,May 2018,76,4000,SHA-256,19.12,0.053
Ebang Ebit E9.2,May 2018,12,1320,SHA-256,1.04,0.11
Bitmain Antminer S9i,May 2018,14,1320,SHA-256,1.84,0.094
Canaan AvalonMiner 841,Apr 2018,13.6,1290,SHA-256,1.77,0.095
Halong Mining DragonMint T1,Apr 2018,16,1480,SHA-256,2.19,0.093
MicroBT Whatsminer M3X,Mar 2018,12.5,2050,SHA-256,-0.86,0.164
Bitmain Antminer V9,Mar 2018,4,1027,SHA-256,-1.35,0.257
Ebang Ebit E10,Feb 2018,18,1650,SHA-256,2.51,0.092
Canaan AvalonMiner 821,Feb 2018,11.5,1200,SHA-256,1.18,0.104
Ebang Ebit E9+,Jan 2018,9,1300,SHA-256,-0.12,0.144
Pantech WX6,Jan 2018,34,5000,SHA-256,-0.69,0.147
Bitmain Antminer T9+,Jan 2018,10.5,1432,SHA-256,0.11,0.136
Bitfily Snow Panther A1,Jan 2018,49,5400,SHA-256,4.20,0.11
MicroBT Whatsminer M3,Jan 2018,12,2000,SHA-256,-0.92,0.167
Bitfury B8,Dec 2017,49,6400,SHA-256,1.32,0.131
Bitmain Antminer S9,Nov 2017,14,1372,SHA-256,1.69,0.098
Pantech SX6,Sep 2017,8.5,1000,SHA-256,0.55,0.118
Bitmain Antminer S9,Sep 2017,13.5,1323,SHA-256,1.63,0.098
Bitmain Antminer T9,Aug 2017,12.5,1576,SHA-256,0.50,0.126
Bitmain Antminer S9,Jul 2017,13,1300,SHA-256,1.50,0.1
Bitmain Antminer T9,Apr 2017,11.5,1450,SHA-256,0.46,0.126
Canaan AvalonMiner 741,Apr 2017,7.3,1150,SHA-256,-0.37,0.158
Bitmain Antminer R4,Feb 2017,8.7,845,SHA-256,1.07,0.097
Bitmain Antminer S9,Feb 2017,12.5,1225,SHA-256,1.51,0.098
Bitmain Antminer S7-LN,Jun 2016,2.7,697,SHA-256,-0.92,0.258
Bitmain Antminer S9,Jun 2016,11.5,1127,SHA-256,1.39,0.098
Bitmain Antminer S7,Sep 2015,4.73,1293,SHA-256,-1.82,0.273
Bitmain Antminer S5,Dec 2014,1.155,590,SHA-256,-1.23,0.511
Bitmain Antminer S3,Jul 2014,0.478,366,SHA-256,-0.86,1
StrongU STU-U6,Nov 2019,0.440,2200,X11,13.63,5
FusionSilicon X7 Miner,Mar 2019,0.262,1420,X11,7.80,5
Bitmain Antminer D5 ,Nov 2018,0.119,1566,X11,0.89,13
Dayun Zig D1,Nov 2018,0.048,2200,X11,-4.16,46
Baikal BK-G28,Oct 2018,0.028,1300,X11,-2.47,46
Spondoolies SPx36,Sep 2018,0.540,4400,X11,11.83,8
iBeLink DM56G,May 2018,0.056,2100,X11,-3.51,38
Innosilicon A5+ DashMaster,Mar 2018,0.065,1500,X11,-1.37,23
PinIdea DR-100 Pro,Nov 2017,0.021,900,X11,-1.64,43
Baikal BK-X,Nov 2017,0.010,630,X11,-1.36,63
Innosilicon A5 DashMaster,Oct 2017,0.0325,750,X11,-0.69,23
Bitmain Antminer D3,Oct 2017,0.0193,1350,X11,-3.01,7
Bitmain Antminer D3,Oct 2017,0.0175,1280,X11,-2.89,73
iBeLink DM22G,Sep 2017,0.022,810,X11,-1.33,37
Bitmain Antminer D3,Sep 2017,0.015,1200,X11,-2.78,8
PinIdea DR-100,Aug 2017,0.019,900,X11,-1.73,47
Baikal Giant+ A2000,Aug 2017,0.002,450,X11,-1.15,215
iBeLink DM11G,Jul 2017,0.0108,810,X11,-1.84,75
PinIdea DR-3,Apr 2017,0.0006,345,X11,-0.97,575
Baikal Miner Cube,Apr 2017,0.0003,90,X11,-0.20,25
Baikal Giant A900,Oct 2016,0.0009,270,X11,-0.58,241
Baikal Mini Miner,Sep 2016,0.00015,50,X11,-0.11,267
Baikal Quadruple Mini Miner,Aug 2016,0.0006,192,X11,-0.43,267
