"model","release","hashRate","power","algo","profitability","efficiency"
"Canaan AvalonMiner 821","Feb 2018"," 11.5Th/s"," 1200W","SHA-256"," $1.18/day","0.104j/Gh"
"Ebang Ebit E9+","Jan 2018"," 9Th/s"," 1300W","SHA-256"," -$0.12/day","0.144j/Gh"
"Pantech WX6","Jan 2018"," 34Th/s"," 5000W","SHA-256"," -$0.69/day","0.147j/Gh"
"Bitmain Antminer T9+ (10.5Th)","Jan 2018"," 10.5Th/s"," 1432W","SHA-256"," $0.11/day","0.136j/Gh"
"Bitfily Snow Panther A1","Jan 2018"," 49Th/s"," 5400W","SHA-256"," $4.20/day","0.11j/Gh"
"MicroBT Whatsminer M3","Jan 2018"," 12Th/s"," 2000W","SHA-256"," -$0.92/day","0.167j/Gh"
"Bitfury B8","Dec 2017"," 49Th/s"," 6400W","SHA-256"," $1.32/day","0.131j/Gh"
"Bitmain Antminer S9 (14Th)","Nov 2017"," 14Th/s"," 1372W","SHA-256"," $1.69/day","0.098j/Gh"
"Pantech SX6","Sep 2017"," 8.5Th/s"," 1000W","SHA-256"," $0.55/day","0.118j/Gh"
"Bitmain Antminer S9 (13.5Th)","Sep 2017"," 13.5Th/s"," 1323W","SHA-256"," $1.63/day","0.098j/Gh"
"Bitmain Antminer T9 (12.5Th)","Aug 2017"," 12.5Th/s"," 1576W","SHA-256"," $0.50/day","0.126j/Gh"
"Bitmain Antminer S9 (13Th)","Jul 2017"," 13Th/s"," 1300W","SHA-256"," $1.50/day","0.1j/Gh"
"Bitmain Antminer T9 (11.5Th)","Apr 2017"," 11.5Th/s"," 1450W","SHA-256"," $0.46/day","0.126j/Gh"
"Canaan AvalonMiner 741","Apr 2017"," 7.3Th/s"," 1150W","SHA-256"," -$0.37/day","0.158j/Gh"
"Bitmain Antminer R4","Feb 2017"," 8.7Th/s"," 845W","SHA-256"," $1.07/day","0.097j/Gh"
"Bitmain Antminer S9 (12.5Th)","Feb 2017"," 12.5Th/s"," 1225W","SHA-256"," $1.51/day","0.098j/Gh"
"Bitmain Antminer S7-LN","Jun 2016"," 2.7Th/s"," 697W","SHA-256"," -$0.92/day","0.258j/Gh"
"Bitmain Antminer S9 (11.5Th)","Jun 2016"," 11.5Th/s"," 1127W","SHA-256"," $1.39/day","0.098j/Gh"
"Bitmain Antminer S7","Sep 2015"," 4.73Th/s"," 1293W","SHA-256"," -$1.82/day","0.273j/Gh"
"Bitmain Antminer S5","Dec 2014"," 1.155Th/s"," 590W","SHA-256"," -$1.23/day","0.511j/Gh"
"Bitmain Antminer S3","Jul 2014"," 478Gh/s"," 366W","SHA-256"," -$0.86/day","0.001j/Mh"
