date,BTC,ETH,LTC,XMR
2016/01,3699.2258064516127,92.48387096774194,80.70967741935483,63.03225806451613
2016/02,4836.931034482759,122.55172413793103,81.51724137931035,64.6896551724138
2016/03,5265.806451612903,207.83870967741936,81.25806451612904,70.12903225806451
2016/04,5670.066666666667,335.1,78.1,68.06666666666666
2016/05,6076.129032258064,451.38709677419354,72.90322580645162,69.51612903225806
2016/06,6548.5,589.6666666666666,67.4,77.03333333333333
2016/07,6896.193548387097,690.3225806451613,73.61290322580645,108.80645161290323
2016/08,6760.258064516129,726.1612903225806,80.80645161290323,108.87096774193549
2016/09,7367.966666666666,878.4,83.0,163.66666666666666
2016/10,8062.903225806452,1113.8709677419354,78.90322580645162,152.80645161290323
2016/11,8544.266666666666,804.2,91.23333333333333,143.36666666666667
2016/12,9508.0,947.8387096774194,106.29032258064517,193.1290322580645
2017/01,9775.516129032258,850.2258064516129,97.41935483870968,186.3548387096774
2017/02,11227.607142857143,1085.5357142857142,106.78571428571429,205.32142857142858
2017/03,12213.322580645161,1584.258064516129,99.87096774193549,207.2258064516129
2017/04,13239.033333333333,2217.9,124.36666666666666,234.16666666666666
2017/05,14673.129032258064,3173.064516129032,238.09677419354838,244.80645161290323
2017/06,17948.033333333333,5503.866666666667,266.93333333333334,304.5
2017/07,20082.58064516129,7956.612903225807,363.9032258064516,436.61290322580646
2017/08,23475.16129032258,10107.0,541.4516129032259,562.1612903225806
2017/09,25649.866666666665,11704.9,889.5,879.5666666666667
2017/10,31611.677419354837,12536.677419354839,1109.225806451613,771.8387096774194
2017/11,34866.0,13279.233333333334,1299.5333333333333,899.9
2017/12,44405.290322580644,15679.90322580645,3360.8387096774195,1535.8387096774193
2018/01,50517.290322580644,20938.548387096773,4142.0,2217.8387096774195
2018/02,64239.75,26806.39285714286,5266.107142857143,3271.5
2018/03,74131.25806451614,29470.645161290322,6449.741935483871,3495.1612903225805
2018/04,82584.06666666667,29003.1,8485.966666666667,2019.1333333333334
2018/05,91592.93548387097,30500.322580645163,11453.483870967742,1606.6774193548388
2018/06,108662.26666666666,31020.333333333332,11643.966666666667,1457.8666666666666
