Timestamp;TH/s
3/8/2016;1384059.652
4/8/2016;1380553.399
5/8/2016;1442438.034
6/8/2016;1448391.343
7/8/2016;1428619.74
8/8/2016;1420017.312
9/8/2016;1358366.579
10/8/2016;1356932.841
11/8/2016;1329691.819
12/8/2016;1303884.535
13/8/2016;1326824.343
14/8/2016;1348330.413
15/8/2016;1394491.15
16/8/2016;1386504.113
17/8/2016;1361316.649
18/8/2016;1385417.153
19/8/2016;1388011.587
20/8/2016;1393693.391
21/8/2016;1419936.033
22/8/2016;1455440.784
23/8/2016;1492489.22
24/8/2016;1490945.535
25/8/2016;1453897.099
26/8/2016;1416848.663
27/8/2016;1387518.651
28/8/2016;1376712.857
29/8/2016;1383377.118
30/8/2016;1405862.323
31/8/2016;1416821.555
1/9/2016;1434099.562
2/9/2016;1451665.64
3/9/2016;1414554.588
4/9/2016;1461585.313
5/9/2016;1422393.042
6/9/2016;1423960.733
7/9/2016;1441205.332
8/9/2016;1427096.115
9/9/2016;1453746.859
10/9/2016;1416122.279
11/9/2016;1453746.859
12/9/2016;1501951.295
13/9/2016;1529883.912
14/9/2016;1554320.609
15/9/2016;1577117.508
16/9/2016;1558649.69
17/9/2016;1562958.784
18/9/2016;1534091.379
19/9/2016;1481167.804
20/9/2016;1476356.569
21/9/2016;1495601.506
22/9/2016;1497205.251
23/9/2016;1453904.144
24/9/2016;1489186.527
25/9/2016;1594518.947
26/9/2016;1611245.261
27/9/2016;1634531.966
28/9/2016;1661937.882
29/9/2016;1688797.186
30/9/2016;1664227.337
1/10/2016;1614548.393
2/10/2016;1593991.589
3/10/2016;1564869.449
4/10/2016;1582000.119
5/10/2016;1623113.728
6/10/2016;1655662.001
7/10/2016;1633392.13
8/10/2016;1702115.223
9/10/2016;1735471.562
10/10/2016;1694293.321
11/10/2016;1663399.948
12/10/2016;1653800.322
13/10/2016;1642112.691
14/10/2016;1581528.295
15/10/2016;1548482.261
16/10/2016;1557661.715
17/10/2016;1531959.244
18/10/2016;1550318.152
19/10/2016;1546646.37
20/10/2016;1542974.589
21/10/2016;1583364.186
22/10/2016;1613056.567
23/10/2016;1642923.093
24/10/2016;1615911.834
25/10/2016;1634937.161
