id,name,value,year,lastValue,rank
903,Ireland,35.13661736369771,2029,34.56826066268556,65
904,Ireland,32.86319055964913,2025,32.29483385863698,65
905,Nigeria,27.0,2016,0.0,65
906,Ireland,33.99990396167342,2027,33.43154726066127,65
907,Ireland,34.56826066268556,2028,33.99990396167342,65
908,Ireland,30.589763755600544,2021,30.0214070545884,65
909,Bulgaria,28.22567865047233,2019,33.0,65
910,Slovakia,27.0,2016,0.0,66
911,Bahrain,33.899293500674766,2028,33.12589337112011,66
912,Bahrain,30.805692982456137,2024,30.032292852901485,66
913,Bahrain,32.35249324156545,2026,31.5790931120108,66
914,Bahrain,33.12589337112011,2027,32.35249324156545,66
915,Bahrain,30.032292852901485,2023,29.258892723346825,66
916,Bahrain,34.67269363022942,2029,33.899293500674766,66
917,Bulgaria,28.22567865047233,2020,28.22567865047233,66
918,Slovakia,28.0,2018,28.0,66
919,Bahrain,31.5790931120108,2025,30.805692982456137,66
920,Bahrain,27.712092464237514,2019,27.0,66
921,Slovakia,28.0,2017,27.0,66
922,Bahrain,28.485492593792173,2021,27.712092464237514,66
923,Bahrain,29.258892723346825,2022,28.485492593792173,66
924,Syria,31.97648835087719,2027,31.3608608731444,67
925,Syria,32.592115828609984,2028,31.97648835087719,67
926,Syria,33.20774330634278,2029,32.592115828609984,67
927,Bahrain,27.712092464237514,2020,27.712092464237514,67
928,Syria,27.66709600674764,2019,14.0,67
929,Syria,28.282723484480428,2021,27.66709600674764,67
930,Bahrain,26.0,2016,0.0,67
931,Syria,31.3608608731444,2026,30.745233395411603,67
932,Syria,29.513978439946012,2023,28.89835096221322,67
933,Syria,28.89835096221322,2022,28.282723484480428,67
934,Syria,30.745233395411603,2025,30.12960591767881,67
935,Bahrain,27.0,2018,26.0,67
936,Ireland,26.0,2017,26.0,67
937,Syria,30.12960591767881,2024,29.513978439946012,67
938,Nigeria,30.295196718623487,2026,29.67728182591093,68
939,Bulgaria,28.004896488529013,2021,28.22567865047233,68
940,Libya,26.826895318488532,2019,26.0,68
941,Nigeria,29.67728182591093,2025,29.059366933198383,68
942,Nigeria,32.14894139676114,2029,31.531026504048587,68
943,Syria,27.66709600674764,2020,27.66709600674764,68
944,Ireland,27.0,2018,26.0,68
945,Bahrain,26.0,2017,26.0,68
946,Ireland,26.0,2016,0.0,68
947,Nigeria,29.059366933198383,2024,28.441452040485835,68
948,Libya,27.930547278002702,2022,27.37872129824562,68
949,Nigeria,31.531026504048587,2028,30.913111611336035,68
950,Nigeria,30.913111611336035,2027,30.295196718623487,68
951,Libya,28.48237325775979,2023,27.930547278002702,68
952,Libya,31.7933291363023,2029,31.24150315654521,69
953,Libya,31.24150315654521,2028,30.68967717678813,69
954,Nigeria,26.587707362348183,2019,29.0,69
955,Libya,30.68967717678813,2027,30.137851197031047,69
956,Libya,29.58602521727396,2025,29.03419923751688,69
957,Libya,26.0,2018,25.0,69
958,Nigeria,27.823537147773283,2022,27.20562225506073,69
959,Libya,27.37872129824562,2021,26.826895318488532,69
