date,BTC,ETH,LTC,XMR,BCH,BSV,DASH,DOGE,ETC,VTC,ZEC
2016-01-01,697129.166405806,0.48321717257062,1.4371353484015,0.00000583844159987098,,,0.09413335798051,1.35825153496407,,0.012687039095463,
2016-01-02,748768.363917347,0.4807672336531,1.3780045558913,0.00000604892864845722,,,0.097035767110039,1.29667531547225,,0.010375180303776,
2016-01-03,748768.363917347,0.49417513264219,1.5229800879121,0.00000588183727646605,,,0.095672178144296,1.35847659738868,,0.010043088023981,
2016-01-04,934669.474958895,0.49166951641665,1.5284246290024,0.00000595308089640558,,,0.104877473735727,1.36753736780675,,0.009548492262305,
2016-01-05,810735.400931196,0.49278826555659,1.49850440788,0.00000608203410597484,,,0.112269440025641,1.38034202890919,,0.009057158607431,
2016-01-06,728112.684912731,0.49624980985481,1.5334072099481,0.00000583157510650243,,,0.096370837527538,1.32951583985023,,0.008180772208679,
2016-01-07,759096.203419655,0.473369433136,1.4438816263276,0.00000571798747365795,,,0.102139305550199,1.27220517990635,,0.009014577158789,
2016-01-08,893358.116949662,0.49767087769905,1.528815839641,0.00000600350920337105,,,0.102368668981618,1.31955681090992,,0.008131136475396,
2016-01-09,779751.882424272,0.4977183126848,1.5128906746448,0.00000601032166916318,,,0.105226612178441,1.27494478892648,,0.008507203940838,
2016-01-10,903685.95645197,0.49159480017294,1.5746864940232,0.0000062818324989656,,,0.103040612979923,1.33425617687867,,0.008928043844135,
2016-01-11,877866.357696199,0.52179368930236,1.5408908397269,0.00000602086808034346,,,0.098139355710815,1.34952803550018,,0.009106788044757,
2016-01-12,877866.357696199,0.50737032193466,1.7286135816226,0.00000641799038827617,,,0.095627365640747,1.41697967204254,,0.008371349477424,
2016-01-13,813710.194014571,0.49129587693339,1.483366612451,0.00000657753577518355,,,0.102457689040332,1.33613683642269,,0.009856147252813,
2016-01-14,749438.083305595,0.51495491232934,1.5337379225,0.00000630348134763986,,,0.094511015264806,1.38275193894873,,0.009929907990915,
2016-01-15,687454.482430696,0.52968852467654,1.5337379225,0.00000534607640236445,,,0.098203339173144,1.33518560413861,,0.008898551332864,
2016-01-16,800151.938566876,0.53754825605787,1.608084284991,0.00000594924391157246,,,0.102978672381084,1.4790961292623,,0.008868780139718,
2016-01-17,850865.793828157,0.52855352351463,1.5077836465817,0.0000062965103121196,,,0.101513967517926,1.35110760160153,,0.008987101663004,
2016-01-18,974832.995577956,0.55514874356085,1.6597515558242,0.00000582763364306733,,,0.099970589428208,1.49319952655184,,0.00782962104404,
2016-01-19,749438.083305595,0.54884103488432,1.5248124049442,0.00000579086034938832,,,0.098863551115034,1.39758162095518,,0.009342072091094,
2016-01-20,856500.666634966,0.54909785017139,1.5267512208454,0.00000567842627420992,,,0.103260873679159,1.33388647309767,,0.009097854244296,
2016-01-21,771977.574532831,0.55133002940132,1.4993712621428,0.00000614750547220422,,,0.107761916930833,1.37156633481173,,0.008857809132496,
2016-01-22,991737.613998384,0.57348433942062,1.5697388665033,0.00000620041585644017,,,0.105365281506465,1.38671532903597,,0.008969209702414,
2016-01-23,1008642.23241881,0.57385665870961,1.5020777084643,0.00000590593372637255,,,0.109316038108101,1.44958383276524,,0.00966092359423,
2016-01-24,963563.249964338,0.60659223314184,1.5468925021681,0.00000686548844020286,,,0.105587175350969,1.40384389424722,,0.009000337540865,
2016-01-25,912849.394703057,0.5835953335671,1.5556186619474,0.00000687336402709689,,,0.094951665789025,1.33695167260687,,0.00816599258015,
2016-01-26,928141.002810171,0.63269422919836,1.6455694009035,0.00000679864681883807,,,0.097537527829369,1.34506888645282,,0.012490706074826,
2016-01-27,924867.907889316,0.62410431980726,1.6427221276974,0.00000800897475109664,,,0.090780352319147,1.22038598790863,,0.019962614273862,
2016-01-28,871165.900334451,0.61218911809793,1.5087214431967,0.00000765712849589753,,,0.102751504403804,1.45925518278958,,0.01997281276676,
2016-01-29,1008404.36408577,0.62743033871697,1.4310666630322,0.00000800722034221453,,,0.110783703604622,1.33592911961585,,0.013328009098827,
2016-01-30,1115808.3791955,0.63155555201014,1.3755989629146,0.00000755834059861619,,,0.134092540106738,1.38848625719989,,0.015752312040279,
2016-01-31,1080007.04082559,0.60321791852787,1.2066066876304,0.00000739101264864369,,,0.125764020623004,1.3299516318041,,0.012847704600834,
2016-02-01,960669.246259225,0.63380335905067,1.5879225295258,0.0000067224225534224,,,0.123598385906406,1.4864537471424,,0.015225789522562,
2016-02-02,1074040.15109727,0.61217571375072,1.5609253922386,0.00000658172786332508,,,0.122772790297979,1.42363091038133,,0.014914046665567,
2016-02-03,1068073.26136895,0.65332662463957,1.609094594258,0.00000609401374281082,,,0.120784769758353,1.47921656413918,,0.015316008087804,
2016-02-04,1002437.47435745,0.65129168286126,1.4921533951965,0.00000627060097501128,,,0.122080637730809,1.4539545799542,,0.016885355630942,
2016-02-05,1121775.26892382,0.65282919266014,1.5615558786941,0.00000645034654138449,,,0.111624746587674,1.53982058170933,,0.016939895703397,
2016-02-06,1193377.94566364,0.62718534282411,1.6096037518846,0.00000621914508218989,,,0.101663601699283,1.54037084465553,,0.018573678571984,
2016-02-07,1234537.96602865,0.65070689867733,1.6117257679433,0.00000599490697122269,,,0.118495198097612,1.41271009734982,,0.014345141374524,
2016-02-08,1060281.98712231,0.6773771700369,1.5948502219955,0.00000620499036512453,,,0.119740143808356,1.43896656084076,,0.015748147913745,
2016-02-09,1260875.87657788,0.65832377916186,1.5106247417879,0.00000615058312044437,,,0.112284433364895,1.49265954424866,,0.015397945205656,
