,country,value,year,rank
0,China,5951.0,2017,1
1,China,6625.888268308368,2029,1
2,China,5705.033623964643,2023,1
3,China,5858.509398021931,2024,1
4,China,6165.460946136505,2026,1
5,China,5398.082075850068,2021,1
6,China,6318.936720193793,2027,1
7,China,5244.606301792781,2020,1
8,China,5551.557849907355,2022,1
9,United States,3989.566399731,2019,1
10,China,6472.41249425108,2028,1
11,China,6453.0,2018,1
12,China,6011.985172079218,2025,1
13,United States,4621.686791849037,2024,2
14,United States,4512.491739301586,2022,2
15,United States,4033.0,2018,2
16,United States,4403.296686754135,2020,2
17,United States,4676.284318122762,2025,2
18,United States,4785.479370670213,2027,2
19,United States,4567.089265575311,2023,2
20,United States,4730.881844396487,2026,2
21,United States,4457.89421302786,2021,2
22,Russia,965.1560464,2019,2
23,United States,4840.076896943939,2028,2
24,United States,3888.0,2017,2
25,United States,4894.674423217664,2029,2
26,Russia,1166.4039585134954,2020,3
27,Russia,1253.7102882645077,2023,3
28,Japan,902.842634,2019,3
29,Russia,1282.8123981815115,2024,3
30,Russia,1399.220837849528,2028,3
31,Russia,1370.1187279325238,2027,3
32,India,1277.0,2018,3
33,Russia,1341.0166180155195,2026,3
34,India,1226.0,2017,3
35,Russia,1428.3229477665318,2029,3
36,Russia,1224.6081783475036,2022,3
37,Russia,1311.9145080985156,2025,3
38,Russia,1195.5060684304997,2021,3
39,India,1266.8551783797573,2027,4
40,India,1238.6117123469637,2026,4
41,Japan,1163.2989740229418,2023,4
42,India,1323.3421104453444,2029,4
43,Japan,1124.8532560360998,2020,4
44,Brazil,597.2345504,2019,4
45,India,1210.3682463141702,2025,4
46,India,1182.1247802813766,2024,4
47,Japan,949.0,2017,4
48,Japan,940.0,2018,4
49,India,1295.0986444125508,2028,4
50,Japan,1150.4837346939944,2022,4
51,Japan,1137.6684953650472,2021,4
52,India,1097.3943821829962,2021,5
53,Russia,919.0,2017,5
54,Canada,549.26386279,2019,5
55,India,1153.881314248583,2023,5
56,India,1125.6378482157895,2022,5
57,Japan,1227.3751706676787,2028,5
58,Japan,1201.744692009784,2026,5
59,Japan,1240.190409996626,2029,5
60,India,1069.1509161502026,2020,5
61,Japan,1188.929452680837,2025,5
62,Japan,1176.1142133518892,2024,5
63,Russia,929.0,2018,5
64,Japan,1214.5599313387313,2027,5
65,Germany,893.9926751821864,2029,6
66,Germany,790.2963295303645,2023,6
67,Germany,755.7308809797572,2021,6
68,Germany,807.5790538056682,2024,6
69,Canada,559.0,2018,6
70,Germany,842.1445023562754,2026,6
71,South Korea,527.035648,2019,6
72,Germany,738.4481567044536,2020,6
73,Canada,553.0,2017,6
74,Germany,859.4272266315791,2027,6
75,Germany,876.7099509068827,2028,6
76,Germany,773.0136052550608,2022,6
77,Germany,824.8617780809718,2025,6
78,South Korea,691.5900993838056,2028,7
79,Canada,614.4364804816856,2020,7
80,South Korea,676.574451508502,2027,7
81,Canada,634.0746052314781,2023,7
82,South Korea,535.0,2018,7
83,Canada,627.528563648214,2022,7
84,South Korea,706.6057472591093,2029,7
85,Canada,647.1666883980065,2025,7
86,Canada,640.6206468147423,2024,7
87,Canada,620.9825220649498,2021,7
88,Germany,539.0,2017,7
89,South Korea,661.5588036331983,2026,7
90,Germany,524.268434,2019,7
91,South Korea,571.4649163813765,2020,8
92,Canada,666.804813147799,2028,8
93,Brazil,517.0,2017,8
94,Canada,660.2587715645348,2027,8
95,Germany,533.0,2018,8
96,South Korea,616.5118600072874,2023,8
97,South Korea,601.4962121319838,2022,8
98,France,449.422585,2019,8
99,South Korea,631.5275078825911,2024,8
100,South Korea,646.5431557578947,2025,8
101,Canada,653.7127299812706,2026,8
102,Canada,673.3508547310631,2029,8
103,South Korea,586.4805642566802,2021,8
104,Brazil,620.2897713811066,2026,9
105,Brazil,609.0632092539811,2025,9
106,Brazil,575.3835228726045,2022,9
107,South Korea,512.0,2017,9
108,Brazil,597.8366471268556,2024,9
109,Brazil,653.9694577624831,2029,9
110,Brazil,564.1569607454791,2021,9
111,United Kingdom,300.520358,2019,9
112,Brazil,552.9303986183536,2020,9
113,Brazil,631.516333508232,2027,9
114,Brazil,586.6100849997301,2023,9
115,Brazil,642.7428956353576,2028,9
116,Brazil,529.0,2018,9
117,France,553.9652357446018,2026,10
118,France,522.0865371261809,2021,10
119,France,547.5894960209177,2025,10
120,France,573.0924549156546,2029,10
121,France,455.0,2017,10
122,Italy,297.150052,2019,10
123,France,534.8380165735493,2023,10
124,France,450.0,2018,10
125,France,515.7107974024966,2020,10
126,France,541.2137562972334,2024,10
127,France,566.7167151919703,2028,10
128,France,560.3409754682862,2027,10
129,France,528.462276849865,2022,10
130,United Kingdom,359.8357927821863,2023,11
131,Mexico,267.91059,2019,11
132,Italy,370.59911043353566,2026,11
133,Italy,374.92124130904176,2027,11
134,United Kingdom,355.0784252170041,2021,11
135,United Kingdom,362.2144765647773,2024,11
136,Italy,366.27697955802967,2025,11
137,Italy,383.5655030600539,2029,11
138,Saudi Arabia,323.0,2017,11
139,Saudi Arabia,322.0,2018,11
140,Italy,379.2433721845479,2028,11
141,United Kingdom,357.4571089995952,2022,11
142,United Kingdom,352.699741434413,2020,11
143,United Kingdom,307.0,2017,12
144,United Kingdom,369.35052791255066,2027,12
145,United Kingdom,371.72921169514177,2028,12
146,United Kingdom,364.5931603473685,2025,12
147,United Kingdom,374.1078954777328,2029,12
148,Italy,348.98845605600536,2021,12
149,Italy,344.66632518049926,2020,12
150,Indonesia,263.1385035,2019,12
151,United Kingdom,307.0,2018,12
152,Italy,357.63271780701746,2023,12
153,Italy,353.3105869315114,2022,12
154,United Kingdom,366.9718441299596,2026,12
155,Italy,361.9548486825236,2024,12
156,Saudi Arabia,367.2036984210527,2029,13
157,Saudi Arabia,335.9960654008098,2025,13
158,Turkey,251.376078,2019,13
159,Italy,302.0,2018,13
160,Saudi Arabia,312.5903406356276,2022,13
161,Saudi Arabia,359.401790165992,2028,13
162,Saudi Arabia,304.78843238056686,2021,13
163,Saudi Arabia,351.5998819109313,2027,13
164,Saudi Arabia,328.19415714574905,2024,13
165,Saudi Arabia,320.39224889068834,2023,13
166,Italy,300.0,2017,13
167,Saudi Arabia,343.7979736558705,2026,13
168,Saudi Arabia,296.9865241255061,2020,13
169,Spain,303.7823321221323,2024,14
170,Taiwan,334.1939378110662,2029,14
171,Spain,298.8811411039137,2023,14
172,Mexico,271.0,2018,14
173,Spain,241.562852,2019,14
174,Taiwan,321.4875067843456,2027,14
175,Taiwan,327.84072229770584,2028,14
176,Taiwan,315.1342912709852,2026,14
177,Taiwan,308.7810757576249,2025,14
178,Spain,293.97995008569507,2022,14
179,Spain,284.17756804925784,2020,14
180,Spain,289.0787590674764,2021,14
181,Mexico,261.0,2017,14
182,Taiwan,289.7214292175439,2022,15
183,Turkey,258.0,2018,15
184,Australia,241.020131,2019,15
185,Iran,252.0,2017,15
186,Taiwan,283.3682137041836,2021,15
187,Spain,318.4859051767881,2027,15
188,Taiwan,302.42786024426454,2024,15
189,Taiwan,277.0149981908233,2020,15
190,Spain,323.3870961950068,2028,15
191,Spain,308.6835231403509,2025,15
192,Spain,313.5847141585696,2026,15
193,Spain,328.28828721322543,2029,15
194,Taiwan,296.07464473090425,2023,15
195,Taiwan,237.55742556,2019,16
196,Iran,255.0,2018,16
197,Turkey,248.0,2017,16
198,Mexico,315.4650191989205,2027,16
199,Mexico,275.917717540216,2020,16
200,Mexico,321.1146337215925,2028,16
201,Mexico,287.2169465855601,2022,16
202,Mexico,292.86656110823225,2023,16
203,Mexico,298.5161756309043,2024,16
204,Mexico,304.1657901535764,2025,16
205,Mexico,326.76424824426465,2029,16
206,Mexico,281.5673320628881,2021,16
207,Mexico,309.8154046762484,2026,16
208,Indonesia,249.0,2018,17
209,Australia,273.4442250040486,2023,17
210,Australia,260.3924895708502,2020,17
211,Australia,299.5476958704453,2029,17
212,Australia,295.1971173927126,2028,17
213,Australia,286.495960437247,2026,17
214,Australia,282.14538195951417,2025,17
215,Australia,277.7948034817814,2024,17
216,South Africa,210.3043921,2019,17
217,Australia,269.0936465263158,2022,17
218,Spain,245.0,2017,17
219,Australia,290.84653891497976,2027,17
220,Australia,264.743068048583,2021,17
221,Iran,289.8313626759785,2028,18
222,Iran,271.0471100278004,2025,18
223,Iran,258.5242749290149,2023,18
224,Poland,152.573352,2019,18
225,Taiwan,247.0,2018,18
226,Taiwan,242.0,2017,18
227,Iran,283.56994512658576,2027,18
228,South Africa,240.19806636774632,2020,18
229,Iran,246.0014398302295,2021,18
230,Iran,296.0927802253712,2029,18
231,Iran,252.2628573796222,2022,18
232,Iran,277.30852757719305,2026,18
233,Iran,264.78569247840767,2024,18
234,Sweden,131.798015,2019,19
235,Turkey,252.6978642272605,2023,19
236,South Africa,246.7864817483132,2022,19
237,Turkey,264.8500903786776,2025,19
238,Iran,239.7400222808368,2020,19
239,Turkey,283.0784296058031,2028,19
240,Turkey,270.92620345438604,2026,19
241,Australia,231.0,2017,19
242,Turkey,277.00231653009456,2027,19
243,South Africa,243.49227405802972,2021,19
244,Spain,245.0,2018,19
245,Turkey,289.15454268151154,2029,19
246,Turkey,258.77397730296906,2024,19
247,South Africa,263.2575201997301,2027,20
248,Turkey,240.54563807584356,2021,20
249,Ukraine,128.8064393,2019,20
250,Turkey,246.621751151552,2022,20
251,South Africa,253.37489712888,2024,20
252,Indonesia,221.0,2017,20
253,South Africa,256.6691048191633,2025,20
254,South Africa,269.8459355802969,2029,20
255,South Africa,266.5517278900136,2028,20
256,South Africa,259.9633125094468,2026,20
257,South Africa,250.08068943859652,2023,20
258,Australia,234.0,2018,20
259,Turkey,234.469525000135,2020,20
260,Indonesia,253.9928430618084,2028,21
261,Norway,124.126519,2019,21
262,Indonesia,242.69027643508767,2026,21
263,Indonesia,220.08514318164643,2022,21
264,Indonesia,214.4338598682861,2021,21
265,Indonesia,225.73642649500675,2023,21
266,Indonesia,237.0389931217274,2025,21
267,Indonesia,208.78257655492575,2020,21
268,South Africa,208.0,2017,21
269,Vietnam,217.0,2018,21
270,Indonesia,259.6441263751687,2029,21
271,Indonesia,231.38770980836708,2024,21
272,Indonesia,248.34155974844808,2027,21
273,Ukraine,202.359716745749,2022,22
274,Ukraine,197.95895958623484,2021,22
275,Ukraine,193.55820242672067,2020,22
276,Thailand,184.0,2017,22
277,Ukraine,215.56198822429155,2025,22
278,Ukraine,206.7604739052632,2023,22
279,Ukraine,219.9627453838057,2026,22
280,Ukraine,228.764259702834,2028,22
281,Ukraine,211.16123106477733,2024,22
282,Thailand,233.44871654520924,2029,22
283,Netherlands,110.68171,2019,22
284,South Africa,207.0,2018,22
285,Ukraine,224.36350254331987,2027,22
286,Philippines,93.3543207,2019,23
287,Thailand,194.62233934682865,2021,23
288,Ukraine,233.16501686234815,2029,23
289,Thailand,189.76904219703107,2020,23
290,Vietnam,178.0,2017,23
291,Thailand,223.74212224561407,2027,23
292,Thailand,186.0,2018,23
293,Thailand,204.3289336464238,2023,23
294,Thailand,209.18223079622135,2024,23
295,Thailand,228.59541939541165,2028,23
296,Thailand,214.03552794601893,2025,23
297,Thailand,218.8888250958165,2026,23
298,Thailand,199.47563649662624,2022,23
299,Poland,157.0,2018,24
300,Poland,153.0,2017,24
301,Egypt,147.59331761012152,2020,24
302,Egypt,162.15445072267212,2024,24
303,Egypt,180.3558671133604,2029,24
304,Egypt,158.51416744453448,2023,24
305,Egypt,169.43501727894744,2026,24
306,Egypt,176.71558383522276,2028,24
307,Egypt,151.2336008882592,2021,24
308,Egypt,165.7947340008098,2025,24
309,Finland,84.206701,2019,24
310,Egypt,154.87388416639683,2022,24
311,Egypt,173.0753005570851,2027,24
312,Malaysia,160.40281470445345,2025,25
313,Malaysia,156.6011068016195,2024,25
314,Belgium,82.051496,2019,25
315,Malaysia,148.99769099595144,2022,25
316,Malaysia,152.79939889878546,2023,25
317,Egypt,151.0,2018,25
318,Malaysia,144.0,2017,25
319,Poland,145.7549429568151,2020,25
320,Poland,146.962483268556,2021,25
321,Malaysia,175.6096463157895,2029,25
322,Malaysia,164.20452260728746,2026,25
323,Malaysia,168.00623051012147,2027,25
324,Malaysia,171.80793841295548,2028,25
325,Vietnam,166.2411049176788,2027,26
326,Sweden,141.73976595276653,2020,26
327,Vietnam,161.9682552273954,2026,26
328,Malaysia,145.19598309311743,2021,26
329,Chile,74.99209,2019,26
330,Vietnam,170.5139546079622,2028,26
331,Vietnam,157.69540553711198,2025,26
332,Poland,149.3775638920378,2023,26
333,Malaysia,147.0,2018,26
334,Vietnam,153.42255584682863,2024,26
335,Vietnam,174.7868042982456,2029,26
336,Egypt,143.0,2017,26
337,Poland,148.1700235802969,2022,26
338,Vietnam,144.8768564662618,2022,27
339,Vietnam,149.14970615654522,2023,27
340,Poland,150.58510420377868,2024,27
341,Malaysia,141.39427519028342,2020,27
342,Sweden,132.0,2017,27
343,Sweden,142.4394085317139,2021,27
344,Poland,153.00018482726043,2026,27
345,Austria,66.848708,2019,27
346,Poland,151.79264451551958,2025,27
347,Argentina,159.42520505398113,2029,27
348,Poland,154.20772513900135,2027,27
349,Sweden,130.0,2018,27
350,Argentina,156.57745543252364,2028,27
351,Argentina,150.88195618960864,2026,28
352,Czech Republic,63.919966,2019,28
353,Argentina,125.0,2017,28
354,Poland,156.62280576248315,2029,28
355,Vietnam,136.331157085695,2020,28
356,Argentina,153.72970581106614,2027,28
357,Ukraine,127.0,2018,28
358,Poland,155.41526545074225,2028,28
359,Vietnam,140.6040067759784,2021,28
360,Sweden,143.13905111066128,2022,28
361,Argentina,148.03420656815118,2025,28
362,Argentina,145.18645694669368,2024,28
363,Sweden,143.83869368960865,2023,28
364,Sweden,145.93762142645073,2026,29
365,Norway,126.0,2018,29
366,Argentina,139.4909577037787,2022,29
367,Sweden,146.63726400539812,2027,29
368,Argentina,142.3387073252362,2023,29
369,Sweden,148.03654916329285,2029,29
370,Sweden,145.23797884750337,2025,29
371,Switzerland,56.35254,2019,29
372,Argentina,136.64320808232122,2021,29
373,Sweden,147.33690658434548,2028,29
374,Ukraine,124.0,2017,29
375,Sweden,144.538336268556,2024,29
376,Argentina,133.7954584608637,2020,29
377,Norway,123.0,2017,30
378,Norway,133.76148915114712,2025,30
379,Romania,55.0077777,2019,30
380,Norway,132.6610572705803,2024,30
381,Netherlands,140.13761670310393,2029,30
382,Norway,128.25932974831312,2020,30
383,Netherlands,138.4764714634278,2028,30
384,Norway,129.3597616288799,2021,30
385,Norway,131.5606253900135,2023,30
386,Netherlands,136.8153262237517,2027,30
387,Norway,130.4601935094467,2022,30
388,Netherlands,135.1541809840756,2026,30
389,Argentina,125.0,2018,30
390,Netherlands,125.18730954601892,2020,31
391,Netherlands,128.50960002537113,2022,31
392,United Arab Emirates,139.03725074224025,2029,31
393,Norway,134.8619210317139,2026,31
394,Norway,135.96235291228072,2027,31
395,Pakistan,121.0,2018,31
396,Netherlands,130.17074526504723,2023,31
397,Netherlands,133.4930357443995,2025,31
398,Greece,53.63537,2019,31
399,Norway,137.0627847928475,2028,31
400,United Arab Emirates,118.0,2017,31
401,Netherlands,131.83189050472336,2024,31
402,Netherlands,126.84845478569504,2021,31
403,United Arab Emirates,119.0,2018,32
404,United Arab Emirates,126.5237860620783,2025,32
405,United Arab Emirates,114.01032138191636,2021,32
406,United Arab Emirates,117.13868755195683,2022,32
407,Norway,138.16321667341433,2029,32
408,United Arab Emirates,123.3954198920378,2024,32
409,United Arab Emirates,110.88195521187586,2020,32
410,United Arab Emirates,129.65215223211877,2026,32
411,United Arab Emirates,132.78051840215926,2027,32
412,Portugal,48.035112,2019,32
413,Netherlands,110.0,2017,32
414,United Arab Emirates,135.90888457219975,2028,32
415,United Arab Emirates,120.26705372199731,2023,32
416,Pakistan,114.5720224349528,2025,33
417,Pakistan,102.5385021343455,2020,33
418,Pakistan,106.0,2017,33
419,Pakistan,116.97872649507426,2026,33
420,Netherlands,112.0,2018,33
421,Pakistan,107.35191025458845,2022,33
422,Pakistan,112.16531837483134,2024,33
423,Pakistan,104.94520619446696,2021,33
424,Pakistan,124.19883867543864,2029,33
425,Pakistan,119.38543055519573,2027,33
426,Pakistan,121.79213461531718,2028,33
427,Singapore,47.58252,2019,33
428,Pakistan,109.75861431470987,2023,33
429,Kazakhstan,122.54002169365724,2029,34
430,Kazakhstan,114.82584031916332,2026,34
431,Kazakhstan,101.96887136167344,2021,34
432,Kazakhstan,117.39723411066127,2027,34
433,Hungary,41.620749,2019,34
434,Kazakhstan,109.68305273616735,2024,34
435,Kazakhstan,92.0,2018,34
436,Kazakhstan,119.96862790215928,2028,34
437,Kazakhstan,104.54026515317142,2022,34
438,Kazakhstan,112.25444652766534,2025,34
439,Kazakhstan,107.1116589446694,2023,34
440,Kazakhstan,87.0,2017,34
441,Kazakhstan,99.39747757017544,2020,34
442,Philippines,86.0,2018,35
443,Finland,104.65434053981105,2027,35
444,Finland,105.92159651147097,2028,35
445,Finland,98.31806068151144,2022,35
446,Finland,97.05080470985152,2021,35
447,Finland,107.18885248313089,2029,35
448,New Zealand,41.165451,2019,35
449,Finland,83.0,2017,35
450,Finland,103.38708456815112,2026,35
451,Finland,102.1198285964912,2025,35
452,Finland,100.85257262483128,2024,35
453,Finland,95.7835487381916,2020,35
454,Finland,99.58531665317136,2023,35
455,Belgium,98.2341594547908,2023,36
456,Belgium,105.18794406207826,2029,36
457,Bulgaria,33.1343173,2019,36
458,Belgium,100.55208765721996,2025,36
459,Belgium,94.75726715114708,2020,36
460,Belgium,104.0289799608637,2028,36
461,Belgium,101.71105175843454,2026,36
462,Belgium,95.91623125236164,2021,36
463,Belgium,83.0,2017,36
464,Finland,85.0,2018,36
465,Belgium,102.87001585964911,2027,36
466,Belgium,99.39312355600538,2024,36
467,Belgium,97.07519535357623,2022,36
468,Czech Republic,102.4088960748988,2029,37
469,Philippines,82.0,2017,37
470,Venezuela,97.88014376653176,2026,37
471,Venezuela,96.4971921835358,2025,37
472,Venezuela,89.58243426855603,2020,37
473,Venezuela,100.64604693252365,2028,37
474,Venezuela,90.965385851552,2021,37
475,Venezuela,95.11424060053984,2024,37
476,Venezuela,92.34833743454794,2022,37
477,Venezuela,99.2630953495277,2027,37
478,Venezuela,93.73128901754389,2023,37
479,Belarus,32.736415,2019,37
480,Belgium,83.0,2018,37
481,Czech Republic,98.15248104939272,2027,38
482,Czech Republic,89.63965099838057,2023,38
483,Czech Republic,96.02427353663968,2026,38
484,Czech Republic,93.89606602388665,2025,38
485,Venezuela,102.0289985155196,2029,38
486,Czech Republic,91.7678585111336,2024,38
487,Czech Republic,85.3832359728745,2021,38
488,Denmark,32.703064,2019,38
489,Colombia,72.0,2017,38
490,Chile,76.0,2018,38
491,Czech Republic,83.25502846012147,2020,38
492,Czech Republic,100.28068856214576,2028,38
493,Czech Republic,87.51144348562754,2022,38
494,Chile,92.247760780027,2029,39
495,Chile,88.54931116221323,2027,39
496,Bangladesh,71.0,2018,39
497,Chile,81.1524119265857,2023,39
498,Chile,83.00163673549258,2024,39
499,Chile,84.85086154439946,2025,39
500,Philippines,79.33495046986506,2022,39
501,Philippines,75.80830117326587,2020,39
502,Philippines,77.57162582156548,2021,39
503,Chile,72.0,2017,39
504,Chile,86.70008635330635,2026,39
505,Ireland,27.202795,2019,39
506,Chile,90.39853597112013,2028,39
507,Philippines,82.86159976646425,2024,40
508,Colombia,70.0,2018,40
509,Philippines,86.38824906306345,2026,40
510,Chile,77.45396230877193,2021,40
511,Philippines,84.62492441476385,2025,40
512,Slovakia,26.236542,2019,40
513,Philippines,81.09827511816466,2023,40
514,Chile,75.60473749986505,2020,40
515,Bangladesh,66.0,2017,40
516,Philippines,91.67822300796225,2029,40
517,Philippines,89.91489835966264,2028,40
518,Chile,79.30318711767882,2022,40
519,Philippines,88.15157371136304,2027,40
520,Austria,76.03377688232118,2025,41
521,Austria,77.90222872928474,2027,41
522,Austria,75.0995509588394,2024,41
523,Austria,76.96800280580297,2026,41
524,Austria,73.23109911187584,2022,41
525,Austria,79.77068057624831,2029,41
526,Austria,71.36264726491228,2020,41
527,Austria,74.16532503535763,2023,41
528,Austria,78.83645465276652,2028,41
529,Austria,72.29687318839404,2021,41
530,Austria,66.0,2017,41
531,Iceland,18.679313,2019,41
532,Austria,66.0,2018,41
533,Greece,72.330158974359,2026,42
534,Greece,73.45906205128207,2027,42
535,Venezuela,66.0,2017,42
536,Greece,68.94344974358977,2023,42
537,Greece,75.71686820512824,2029,42
