,country,value,rank
204,Mexico,304.1657901535764,16
205,Mexico,326.76424824426465,16
206,Mexico,281.5673320628881,16
207,Mexico,309.8154046762484,16
208,Indonesia,249.0,17
209,Australia,273.4442250040486,17
210,Australia,260.3924895708502,17
211,Australia,299.5476958704453,17
212,Australia,295.1971173927126,17
213,Australia,286.495960437247,17
214,Australia,282.14538195951417,17
215,Australia,277.7948034817814,17
216,South Africa,210.3043921,17
217,Australia,269.0936465263158,17
218,Spain,245.0,17
219,Australia,290.84653891497976,17
220,Australia,264.743068048583,17
221,Iran,289.8313626759785,18
222,Iran,271.0471100278004,18
223,Iran,258.5242749290149,18
224,Poland,152.573352,18
225,Taiwan,247.0,18
226,Taiwan,242.0,18
227,Iran,283.56994512658576,18
228,South Africa,240.19806636774632,18
229,Iran,246.0014398302295,18
230,Iran,296.0927802253712,18
231,Iran,252.2628573796222,18
232,Iran,277.30852757719305,18
233,Iran,264.78569247840767,18
234,Sweden,131.798015,19
235,Turkey,252.6978642272605,19
236,South Africa,246.7864817483132,19
237,Turkey,264.8500903786776,19
238,Iran,239.7400222808368,19
239,Turkey,283.0784296058031,19
240,Turkey,270.92620345438604,19
241,Australia,231.0,19
242,Turkey,277.00231653009456,19
243,South Africa,243.49227405802972,19
244,Spain,245.0,19
245,Turkey,289.15454268151154,19
246,Turkey,258.77397730296906,19
247,South Africa,263.2575201997301,20
248,Turkey,240.54563807584356,20
249,Ukraine,128.8064393,20
250,Turkey,246.621751151552,20
251,South Africa,253.37489712888,20
252,Indonesia,221.0,20
253,South Africa,256.6691048191633,20
254,South Africa,269.8459355802969,20
255,South Africa,266.5517278900136,20
256,South Africa,259.9633125094468,20
257,South Africa,250.08068943859652,20
258,Australia,234.0,20
259,Turkey,234.469525000135,20
260,Indonesia,253.9928430618084,21
261,Norway,124.126519,21
262,Indonesia,242.69027643508767,21
263,Indonesia,220.08514318164643,21
264,Indonesia,214.4338598682861,21
265,Indonesia,225.73642649500675,21
266,Indonesia,237.0389931217274,21
267,Indonesia,208.78257655492575,21
268,South Africa,208.0,21
269,Vietnam,217.0,21
270,Indonesia,259.6441263751687,21
271,Indonesia,231.38770980836708,21
272,Indonesia,248.34155974844808,21
273,Ukraine,202.359716745749,22
274,Ukraine,197.95895958623484,22
275,Ukraine,193.55820242672067,22
276,Thailand,184.0,22
277,Ukraine,215.56198822429155,22
278,Ukraine,206.7604739052632,22
279,Ukraine,219.9627453838057,22
280,Ukraine,228.764259702834,22
281,Ukraine,211.16123106477733,22
282,Thailand,233.44871654520924,22
283,Netherlands,110.68171,22
284,South Africa,207.0,22
285,Ukraine,224.36350254331987,22
286,Philippines,93.3543207,23
287,Thailand,194.62233934682865,23
288,Ukraine,233.16501686234815,23
289,Thailand,189.76904219703107,23
290,Vietnam,178.0,23
291,Thailand,223.74212224561407,23
292,Thailand,186.0,23
293,Thailand,204.3289336464238,23
294,Thailand,209.18223079622135,23
295,Thailand,228.59541939541165,23
296,Thailand,214.03552794601893,23
297,Thailand,218.8888250958165,23
298,Thailand,199.47563649662624,23
299,Poland,157.0,24
300,Poland,153.0,24
301,Egypt,147.59331761012152,24
302,Egypt,162.15445072267212,24
303,Egypt,180.3558671133604,24
304,Egypt,158.51416744453448,24
305,Egypt,169.43501727894744,24
306,Egypt,176.71558383522276,24
307,Egypt,151.2336008882592,24
308,Egypt,165.7947340008098,24
309,Finland,84.206701,24
310,Egypt,154.87388416639683,24
311,Egypt,173.0753005570851,24
312,Malaysia,160.40281470445345,25
313,Malaysia,156.6011068016195,25
314,Belgium,82.051496,25
315,Malaysia,148.99769099595144,25
316,Malaysia,152.79939889878546,25
317,Egypt,151.0,25
318,Malaysia,144.0,25
319,Poland,145.7549429568151,25
320,Poland,146.962483268556,25
321,Malaysia,175.6096463157895,25
322,Malaysia,164.20452260728746,25
323,Malaysia,168.00623051012147,25
324,Malaysia,171.80793841295548,25
325,Vietnam,166.2411049176788,26
326,Sweden,141.73976595276653,26
327,Vietnam,161.9682552273954,26
328,Malaysia,145.19598309311743,26
329,Chile,74.99209,26
330,Vietnam,170.5139546079622,26
331,Vietnam,157.69540553711198,26
332,Poland,149.3775638920378,26
333,Malaysia,147.0,26
334,Vietnam,153.42255584682863,26
335,Vietnam,174.7868042982456,26
336,Egypt,143.0,26
337,Poland,148.1700235802969,26
338,Vietnam,144.8768564662618,27
339,Vietnam,149.14970615654522,27
340,Poland,150.58510420377868,27
341,Malaysia,141.39427519028342,27
342,Sweden,132.0,27
343,Sweden,142.4394085317139,27
344,Poland,153.00018482726043,27
345,Austria,66.848708,27
346,Poland,151.79264451551958,27
347,Argentina,159.42520505398113,27
348,Poland,154.20772513900135,27
349,Sweden,130.0,27
350,Argentina,156.57745543252364,27
351,Argentina,150.88195618960864,28
352,Czech Republic,63.919966,28
353,Argentina,125.0,28
354,Poland,156.62280576248315,28
355,Vietnam,136.331157085695,28
356,Argentina,153.72970581106614,28
357,Ukraine,127.0,28
358,Poland,155.41526545074225,28
359,Vietnam,140.6040067759784,28
360,Sweden,143.13905111066128,28
361,Argentina,148.03420656815118,28
362,Argentina,145.18645694669368,28
363,Sweden,143.83869368960865,28
364,Sweden,145.93762142645073,29
365,Norway,126.0,29
366,Argentina,139.4909577037787,29
367,Sweden,146.63726400539812,29
368,Argentina,142.3387073252362,29
369,Sweden,148.03654916329285,29
370,Sweden,145.23797884750337,29
371,Switzerland,56.35254,29
372,Argentina,136.64320808232122,29
373,Sweden,147.33690658434548,29
374,Ukraine,124.0,29
375,Sweden,144.538336268556,29
376,Argentina,133.7954584608637,29
377,Norway,123.0,30
378,Norway,133.76148915114712,30
379,Romania,55.0077777,30
380,Norway,132.6610572705803,30
381,Netherlands,140.13761670310393,30
382,Norway,128.25932974831312,30
383,Netherlands,138.4764714634278,30
384,Norway,129.3597616288799,30
385,Norway,131.5606253900135,30
386,Netherlands,136.8153262237517,30
387,Norway,130.4601935094467,30
388,Netherlands,135.1541809840756,30
389,Argentina,125.0,30
390,Netherlands,125.18730954601892,31
391,Netherlands,128.50960002537113,31
392,United Arab Emirates,139.03725074224025,31
393,Norway,134.8619210317139,31
394,Norway,135.96235291228072,31
395,Pakistan,121.0,31
396,Netherlands,130.17074526504723,31
397,Netherlands,133.4930357443995,31
398,Greece,53.63537,31
399,Norway,137.0627847928475,31
400,United Arab Emirates,118.0,31
401,Netherlands,131.83189050472336,31
402,Netherlands,126.84845478569504,31
403,United Arab Emirates,119.0,32
404,United Arab Emirates,126.5237860620783,32
405,United Arab Emirates,114.01032138191636,32
406,United Arab Emirates,117.13868755195683,32
407,Norway,138.16321667341433,32
408,United Arab Emirates,123.3954198920378,32
409,United Arab Emirates,110.88195521187586,32
410,United Arab Emirates,129.65215223211877,32
411,United Arab Emirates,132.78051840215926,32
412,Portugal,48.035112,32
413,Netherlands,110.0,32
414,United Arab Emirates,135.90888457219975,32
415,United Arab Emirates,120.26705372199731,32
416,Pakistan,114.5720224349528,33
417,Pakistan,102.5385021343455,33
418,Pakistan,106.0,33
419,Pakistan,116.97872649507426,33
420,Netherlands,112.0,33
421,Pakistan,107.35191025458845,33
422,Pakistan,112.16531837483134,33
423,Pakistan,104.94520619446696,33
424,Pakistan,124.19883867543864,33
425,Pakistan,119.38543055519573,33
426,Pakistan,121.79213461531718,33
427,Singapore,47.58252,33
428,Pakistan,109.75861431470987,33
429,Kazakhstan,122.54002169365724,34
430,Kazakhstan,114.82584031916332,34
431,Kazakhstan,101.96887136167344,34
432,Kazakhstan,117.39723411066127,34
433,Hungary,41.620749,34
434,Kazakhstan,109.68305273616735,34
435,Kazakhstan,92.0,34
436,Kazakhstan,119.96862790215928,34
437,Kazakhstan,104.54026515317142,34
438,Kazakhstan,112.25444652766534,34
439,Kazakhstan,107.1116589446694,34
440,Kazakhstan,87.0,34
441,Kazakhstan,99.39747757017544,34
442,Philippines,86.0,35
443,Finland,104.65434053981105,35
444,Finland,105.92159651147097,35
445,Finland,98.31806068151144,35
446,Finland,97.05080470985152,35
447,Finland,107.18885248313089,35
448,New Zealand,41.165451,35
449,Finland,83.0,35
450,Finland,103.38708456815112,35
451,Finland,102.1198285964912,35
452,Finland,100.85257262483128,35
453,Finland,95.7835487381916,35
454,Finland,99.58531665317136,35
455,Belgium,98.2341594547908,36
456,Belgium,105.18794406207826,36
457,Bulgaria,33.1343173,36
458,Belgium,100.55208765721996,36
459,Belgium,94.75726715114708,36
460,Belgium,104.0289799608637,36
461,Belgium,101.71105175843454,36
462,Belgium,95.91623125236164,36
463,Belgium,83.0,36
464,Finland,85.0,36
465,Belgium,102.87001585964911,36
466,Belgium,99.39312355600538,36
467,Belgium,97.07519535357623,36
468,Czech Republic,102.4088960748988,37
469,Philippines,82.0,37
470,Venezuela,97.88014376653176,37
471,Venezuela,96.4971921835358,37
472,Venezuela,89.58243426855603,37
473,Venezuela,100.64604693252365,37
474,Venezuela,90.965385851552,37
475,Venezuela,95.11424060053984,37
476,Venezuela,92.34833743454794,37
477,Venezuela,99.2630953495277,37
478,Venezuela,93.73128901754389,37
479,Belarus,32.736415,37
480,Belgium,83.0,37
481,Czech Republic,98.15248104939272,38
482,Czech Republic,89.63965099838057,38
483,Czech Republic,96.02427353663968,38
484,Czech Republic,93.89606602388665,38
485,Venezuela,102.0289985155196,38
486,Czech Republic,91.7678585111336,38
487,Czech Republic,85.3832359728745,38
488,Denmark,32.703064,38
489,Colombia,72.0,38
490,Chile,76.0,38
491,Czech Republic,83.25502846012147,38
492,Czech Republic,100.28068856214576,38
493,Czech Republic,87.51144348562754,38
494,Chile,92.247760780027,39
495,Chile,88.54931116221323,39
496,Bangladesh,71.0,39
497,Chile,81.1524119265857,39
498,Chile,83.00163673549258,39
499,Chile,84.85086154439946,39
500,Philippines,79.33495046986506,39
501,Philippines,75.80830117326587,39
502,Philippines,77.57162582156548,39
503,Chile,72.0,39
504,Chile,86.70008635330635,39
505,Ireland,27.202795,39
506,Chile,90.39853597112013,39
507,Philippines,82.86159976646425,40
508,Colombia,70.0,40
509,Philippines,86.38824906306345,40
510,Chile,77.45396230877193,40
511,Philippines,84.62492441476385,40
512,Slovakia,26.236542,40
513,Philippines,81.09827511816466,40
514,Chile,75.60473749986505,40
515,Bangladesh,66.0,40
516,Philippines,91.67822300796225,40
517,Philippines,89.91489835966264,40
518,Chile,79.30318711767882,40
519,Philippines,88.15157371136304,40
520,Austria,76.03377688232118,41
521,Austria,77.90222872928474,41
522,Austria,75.0995509588394,41
523,Austria,76.96800280580297,41
524,Austria,73.23109911187584,41
525,Austria,79.77068057624831,41
526,Austria,71.36264726491228,41
527,Austria,74.16532503535763,41
528,Austria,78.83645465276652,41
529,Austria,72.29687318839404,41
530,Austria,66.0,41
531,Iceland,18.679313,41
532,Austria,66.0,41
533,Greece,72.330158974359,42
534,Greece,73.45906205128207,42
535,Venezuela,66.0,42
536,Greece,68.94344974358977,42
537,Greece,75.71686820512824,42
538,Venezuela,65.0,42
539,Greece,65.55674051282054,42
540,Greece,71.20125589743591,42
541,Greece,74.58796512820516,42
542,Greece,67.8145466666667,42
543,Greece,66.68564358974362,42
544,Croatia,17.4749266,42
545,Greece,70.07235282051285,42
546,Colombia,65.67325387584347,43
