,0,1,2,3,4,5,6,7,8,9,10,11,12,13
date,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
BTC,463.1944495588068,1920.7859220254131,11056.967156887393,20179.541311792767,36386.98685573421,40974.00279505782,49961.73980374487,58949.4768124319,68135.68887397913,76949.5747668161,85937.31177550313,94925.04878419019,104209.82405661893,112925.14673857436
ETH,0.001031114021299892,0.017395170570725,0.06369789717500407,0.04814421784945401,0.060787348910605846,0.08370867367569305,0.09887460796152862,0.11404054224736422,0.1295812990508123,0.1444139613239281,0.15957989560976366,0.1747458298955992,0.1904529025556178,0.20511924897216308
LTC,0.00046757201403702596,0.005619022156988071,0.06714676707291835,0.08759172759844153,0.06525240414833941,0.10751547820728144,0.1282796743368242,0.14904387046636694,0.17030181620896445,0.19062915093402658,0.21139334706356935,0.23215754319311216,0.2536431976281116,0.27374282366077174
XMR,6.040980642540167e-09,4.6632685209791486e-08,1.7091241915333917e-07,1.3196047876927335e-07,4.245456493198392e-07,4.2431329052795187e-07,5.137201870124937e-07,6.031270834970357e-07,6.945541441005489e-07,7.821858268674469e-07,8.71592723351989e-07,9.609996198365312e-07,1.0534071531423443e-06,1.1400583632069426e-06
BCH,0.0,0.00015450797331766962,0.0010334294382876542,0.0006480549304627303,0.0008353336630962698,0.0008850976712380722,0.000912623139881204,0.0009401486085243365,0.0009703630484485929,0.0009952749580534584,0.0010228004266965905,0.0010503258953397227,0.0010808421908442953,0.0011054522448688446
BSV,0.0,0.0,6.513825601467554e-05,0.0002915798203687207,0.000599701790462258,0.0010575315719874418,0.0011946629151308923,0.001331794258274342,0.0014731384209359967,0.0016064326468712253,0.0017435639900146753,0.001880695333158125,0.0020235433343811053,0.0021553337217550075
DASH,0.0001737026217742606,0.09389865642036585,0.5808855583794551,0.9990814704593302,1.756452455034179,2.000312071546741,2.4382337325896026,2.876155393632464,3.3237582540667865,3.7531985010909072,4.191120162133768,4.62904182317663,5.081447112185045,5.5060849306350725
DOGE,0.0004302036598417194,0.0044604836766355006,0.05421884362048723,0.07798281192350487,0.06199457936254662,0.0979766564684157,0.11735990811615479,0.1367431597638939,0.156580780150359,0.17556276785840697,0.194946019506146,0.2143292711538851,0.23437945622908998,0.25314887924839813
ETC,8.017860616666667e-05,0.0014172752345916666,0.0032836976673999998,0.0027799349791416666,0.0022865627493333335,0.0036521803143001333,0.004091951821491059,0.004531723328681984,0.004985719446876173,0.005412471196508194,0.00585224270369912,0.006292014210890044,0.006750833043830007,0.007172762078716255
VTC,4.232032778622281e-06,0.00018354789812898015,0.00045246520427812066,0.000307309422656318,0.0013305300581051257,0.0013503324396880142,0.0016484649312823619,0.0019465974228767093,0.002251289379021582,0.0025436792074122394,0.002841811699006587,0.0031399441906009343,0.003447905589945052,0.0037370259751364635
ZEC,1.57620792505425e-09,4.962073304920758e-08,2.650059315906008e-07,1.0279120704094433e-06,1.5651682625921518e-06,2.4206781891099834e-06,2.9257381181121258e-06,3.430798047114269e-06,3.947334907084997e-06,4.4423016309514365e-06,4.94736155995358e-06,5.452421488955724e-06,5.9744970432876605e-06,6.463925072792889e-06
