,country,value,year,rank
173,Saudi Arabia,359.401790165992,2028,14
174,Saudi Arabia,367.2036984210527,2029,14
175,Turkey,251.376078,2019,14
176,Saudi Arabia,296.9865241255061,2020,14
177,Saudi Arabia,351.5998819109313,2027,14
178,Saudi Arabia,328.19415714574905,2024,14
179,Saudi Arabia,304.78843238056686,2021,14
180,Saudi Arabia,312.5903406356276,2022,14
181,Saudi Arabia,320.39224889068834,2023,14
182,Taiwan,334.1939378110662,2029,15
183,Spain,303.7823321221323,2024,15
184,Taiwan,315.1342912709852,2026,15
185,Spain,241.562852,2019,15
186,Spain,284.17756804925784,2020,15
187,Taiwan,308.7810757576249,2025,15
188,Mexico,261.0,2017,15
189,Mexico,271.0,2018,15
190,Spain,293.97995008569507,2022,15
191,Spain,289.0787590674764,2021,15
192,Taiwan,321.4875067843456,2027,15
193,Taiwan,327.84072229770584,2028,15
194,Spain,298.8811411039137,2023,15
195,Iran,252.0,2017,16
196,Taiwan,289.7214292175439,2022,16
197,Spain,328.28828721322543,2029,16
198,Spain,318.4859051767881,2027,16
199,Spain,323.3870961950068,2028,16
200,Taiwan,296.07464473090425,2023,16
201,Taiwan,302.42786024426454,2024,16
202,Australia,241.020131,2019,16
203,Taiwan,283.3682137041836,2021,16
204,Turkey,258.0,2018,16
205,Spain,313.5847141585696,2026,16
206,Spain,308.6835231403509,2025,16
207,Taiwan,277.0149981908233,2020,16
208,Mexico,321.1146337215925,2028,17
209,Taiwan,237.55742556,2019,17
210,Mexico,281.5673320628881,2021,17
211,Mexico,287.2169465855601,2022,17
212,Iran,255.0,2018,17
213,Mexico,292.86656110823225,2023,17
214,Mexico,298.5161756309043,2024,17
215,Mexico,304.1657901535764,2025,17
216,Mexico,315.4650191989205,2027,17
217,Mexico,326.76424824426465,2029,17
218,Mexico,275.917717540216,2020,17
219,Turkey,248.0,2017,17
220,Mexico,309.8154046762484,2026,17
221,Australia,277.7948034817814,2024,18
222,Australia,295.1971173927126,2028,18
223,Australia,290.84653891497976,2027,18
224,Australia,260.3924895708502,2020,18
225,South Africa,210.3043921,2019,18
226,Australia,269.0936465263158,2022,18
227,Australia,273.4442250040486,2023,18
228,Indonesia,249.0,2018,18
229,Australia,282.14538195951417,2025,18
230,Australia,264.743068048583,2021,18
231,Australia,286.495960437247,2026,18
232,Spain,245.0,2017,18
233,Australia,299.5476958704453,2029,18
234,Taiwan,242.0,2017,19
235,Iran,296.0927802253712,2029,19
236,Iran,246.0014398302295,2021,19
237,Poland,152.573352,2019,19
238,Iran,283.56994512658576,2027,19
239,South Africa,240.19806636774632,2020,19
240,Taiwan,247.0,2018,19
241,Iran,264.78569247840767,2024,19
242,Iran,258.5242749290149,2023,19
243,Iran,289.8313626759785,2028,19
244,Iran,271.0471100278004,2025,19
245,Iran,277.30852757719305,2026,19
246,Iran,252.2628573796222,2022,19
247,Australia,231.0,2017,20
248,Turkey,289.15454268151154,2029,20
249,South Africa,243.49227405802972,2021,20
250,Iran,239.7400222808368,2020,20
251,Turkey,270.92620345438604,2026,20
252,Sweden,131.798015,2019,20
253,South Africa,246.7864817483132,2022,20
254,Turkey,277.00231653009456,2027,20
255,Spain,245.0,2018,20
256,Turkey,258.77397730296906,2024,20
257,Turkey,264.8500903786776,2025,20
258,Turkey,283.0784296058031,2028,20
259,Turkey,252.6978642272605,2023,20
260,South Africa,263.2575201997301,2027,21
261,South Africa,253.37489712888,2024,21
262,South Africa,266.5517278900136,2028,21
263,South Africa,269.8459355802969,2029,21
264,Turkey,246.621751151552,2022,21
265,Indonesia,221.0,2017,21
266,South Africa,259.9633125094468,2026,21
267,South Africa,256.6691048191633,2025,21
268,Turkey,240.54563807584356,2021,21
